aristas,tiempo
65536,0.0459316
65536,0.0327135
65536,0.0463831
65536,0.0358978
65536,0.037383
65536,0.0423961
65536,0.0306993
65536,0.0372887
65536,0.0298051
65536,0.0303615
65536,0.0416484
65536,0.0321896
65536,0.0320733
65536,0.0353469
65536,0.0320566
65536,0.0427755
65536,0.0316898
65536,0.0321598
65536,0.036745
65536,0.0390022
65536,0.0363656
65536,0.0334097
65536,0.0376912
65536,0.0414471
65536,0.0313857
65536,0.0335524
65536,0.0332312
65536,0.0350168
65536,0.034215
65536,0.0358578
65536,0.0380625
65536,0.0343888
65536,0.0413229
65536,0.0394627
65536,0.033492
65536,0.0348201
65536,0.0361457
65536,0.0376433
65536,0.0398315
65536,0.0415631
65536,0.0353069
65536,0.0365269
65536,0.0411156
65536,0.03688
65536,0.0325527
65536,0.0318538
65536,0.0394347
65536,0.0353742
65536,0.0335065
65536,0.0358375
131072,0.0512085
131072,0.0570537
131072,0.0680226
131072,0.0679193
131072,0.0655557
131072,0.0803605
131072,0.0659264
131072,0.0720865
131072,0.0688275
131072,0.0651284
131072,0.0669237
131072,0.0645483
131072,0.0652477
131072,0.0630986
131072,0.0678695
131072,0.0649354
131072,0.0643941
131072,0.0710879
131072,0.067664
131072,0.0662996
131072,0.0629227
131072,0.065905
131072,0.0657598
131072,0.0666134
131072,0.0668638
131072,0.0720493
131072,0.0723092
131072,0.0616077
131072,0.0763319
131072,0.0662728
131072,0.0741362
131072,0.0703487
131072,0.0681145
131072,0.0666508
131072,0.0663558
131072,0.0714034
131072,0.0674558
131072,0.0643396
131072,0.0696522
131072,0.068964
131072,0.0650953
131072,0.0660237
131072,0.0768376
131072,0.069163
131072,0.075172
131072,0.0725454
131072,0.0678262
131072,0.0650804
131072,0.065421
131072,0.0716573
262144,0.129312
262144,0.123222
262144,0.160598
262144,0.123953
262144,0.130503
262144,0.124486
262144,0.116544
262144,0.108745
262144,0.109778
262144,0.117506
262144,0.10908
262144,0.11033
262144,0.114437
262144,0.118903
262144,0.122106
262144,0.12838
262144,0.116108
262144,0.124078
262144,0.121848
262144,0.119343
262144,0.116586
262144,0.110932
262144,0.118904
262144,0.117863
262144,0.119732
262144,0.112469
262144,0.129575
262144,0.145286
262144,0.109718
262144,0.131376
262144,0.119296
262144,0.115907
262144,0.121495
262144,0.1195
262144,0.123624
262144,0.118689
262144,0.123431
262144,0.120904
262144,0.128161
262144,0.120856
262144,0.115625
262144,0.162357
262144,0.17505
262144,0.118431
262144,0.150516
262144,0.115122
262144,0.125417
262144,0.149989
262144,0.124724
262144,0.121127
524288,0.211593
524288,0.231713
524288,0.231614
524288,0.220887
524288,0.182688
524288,0.239321
524288,0.219043
524288,0.232118
524288,0.230265
524288,0.216008
524288,0.247675
524288,0.224219
524288,0.231326
524288,0.2184
524288,0.223758
524288,0.223099
524288,0.228585
524288,0.213896
524288,0.235116
524288,0.218992
524288,0.224828
524288,0.22483
524288,0.223386
524288,0.245754
524288,0.218361
524288,0.221251
524288,0.230924
524288,0.223955
524288,0.212449
524288,0.218522
524288,0.221922
524288,0.242891
524288,0.239471
524288,0.231192
524288,0.234458
524288,0.216163
524288,0.222733
524288,0.25821
524288,0.243647
524288,0.213841
524288,0.21667
524288,0.225911
524288,0.231366
524288,0.220921
524288,0.217496
524288,0.227497
524288,0.221715
524288,0.22966
524288,0.205441
524288,0.228532
1048576,0.417931
1048576,0.431807
1048576,0.427017
1048576,0.426559
1048576,0.405961
1048576,0.417446
1048576,0.458739
1048576,0.448228
1048576,0.445845
1048576,0.434886
1048576,0.416519
1048576,0.435868
1048576,0.422011
1048576,0.414326
1048576,0.43364
1048576,0.512857
1048576,0.469071
1048576,0.445171
1048576,0.44803
1048576,0.408122
1048576,0.433663
1048576,0.64951
1048576,0.509124
1048576,0.459832
1048576,0.451716
1048576,0.464508
1048576,0.484749
1048576,0.458645
1048576,0.452713
1048576,0.437222
1048576,0.451464
1048576,0.463643
1048576,0.448753
1048576,0.461159
1048576,0.465313
1048576,0.437141
1048576,0.474754
1048576,0.468004
1048576,0.458556
1048576,0.439358
